video,release_date,id,genre_ids,adult,original_title,poster_path,title,overview,original_language,backdrop_path,popularity,vote_count,vote_average
False,2023-09-15,299054,"[28, 12, 53]",False,Expend4bles,/iwsMu0ehRPbtaSxqiaUDQB9qMWT.jpg,Expend4bles,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",en,/wl4NWiZwpzZH67HiDgpDImLyds9.jpg,1065.515,643,6.501
False,2023-08-23,762430,"[28, 53, 80]",False,Retribution,/hAZO3hvLQVjIDW32lxSKmOOl987.jpg,Retribution,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.",en,/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg,750.213,625,6.99
False,2023-07-19,872585,"[18, 36]",False,Oppenheimer,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,Oppenheimer,The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,en,/rLb2cwF3Pazuxaj0sRXQ037tGI1.jpg,704.491,4140,8.243
False,2023-08-09,980489,"[12, 28, 18]",False,Gran Turismo,/51tqzRtKMMZEYUpSYkrUE7v9ehm.jpg,Gran Turismo,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,en,/r7DuyYJ0N3cD8bRKsR5Ygq2P7oa.jpg,653.055,1369,8.018
False,2023-09-13,820525,"[10749, 18]",False,After Everything,/uQxjZGU6rxSPSMeAJPJQlmfV3ys.jpg,After Everything,"Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",en,/jkKVLzLWjSvTnc84VzeljhSy6j8.jpg,629.698,477,7.085
False,2008-08-20,9381,"[28, 12, 878, 53]",False,Babylon A.D.,/kt9nqD0uOar8IVE9191HXhWOXKI.jpg,Babylon A.D.,A veteran-turned-mercenary is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.,en,/wVTvfxz53pDqrIvbrxhVdKcLhip.jpg,631.986,1888,5.597
False,2023-09-06,968051,"[27, 9648, 53]",False,The Nun II,/5gzzkR7y3hnY8AD1wXjCnVlHba5.jpg,The Nun II,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",en,/gN79aDbZdaSJkFS1iVA17HplF2X.jpg,592.534,1371,6.947
False,2023-10-04,807172,[27],False,The Exorcist: Believer,/qVKirUdmoex8SdfUk8WDDWwrcCh.jpg,The Exorcist: Believer,"When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago.",en,/azD31DjpV3PJfjF3h72LVw2WCSD.jpg,550.657,511,6.205
False,2023-08-02,615656,"[28, 878, 27]",False,Meg 2: The Trench,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,en,/5mzr6JZbrqnqD8rCEvPhuCE5Fw2.jpg,545.397,2486,6.776
False,2023-09-21,893723,"[16, 10751, 28, 878]",False,PAW Patrol: The Mighty Movie,/aTvePCU7exLepwg5hWySjwxojQK.jpg,PAW Patrol: The Mighty Movie,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.",en,/zgQQF04u3OgNBJqClRNby1FPz9s.jpg,560.615,139,7.025
False,2023-08-16,565770,"[28, 878, 12]",False,Blue Beetle,/mXLOHHc1Zeuwsl4xYKjKh2280oL.jpg,Blue Beetle,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",en,/3H9NA1KWEQN0ItL3Wl3SFZYP6yV.jpg,477.735,1521,7.007
False,2023-08-25,997391,"[28, 18]",False,ആര്‍ഡിഎക്സ്: റോബര്‍ട്ട് ഡോണി സേവ്യര്‍,/y6QRQ0bHGt9Wc1BBTZsa1iB2PAm.jpg,RDX: Robert Dony Xavier,"Once-menacing, anger fueled, trained martial arts fighters Robert, Dony and Xavier settle down to peaceful lives, after a significant event prompts them. Fate orchestrates their reunion and return from exile to their fighting ways, when their history linger ominously and one of them faces a violent attack.",ml,/2n6KECWCNmekIEgZFNlldkELUsP.jpg,548.142,14,7.429
False,2019-01-11,554600,"[28, 18, 10752]",False,Uri: The Surgical Strike,/yNySAgpAnWmPpYinim9E0tUzJWG.jpg,Uri: The Surgical Strike,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",hi,/S3EIcOUQYxgd3QzjOo2rZJ2MN8.jpg,472.774,296,7.15
False,2023-07-19,346698,"[35, 12, 14]",False,Barbie,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",en,/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,445.92,5793,7.215
False,2023-06-06,667538,"[28, 12, 878]",False,Transformers: Rise of the Beasts,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",en,/2vFuG6bWGyQUzYS9d69E5l85nIz.jpg,409.575,3518,7.467
False,2023-10-19,1039690,"[28, 80, 18, 53]",False,Desperation Road,/tPyj6Gii1HrnzCbJXEF7JdSFkQ8.jpg,Desperation Road,"After 11 years in a Mississippi state prison, Russell Gaines struggles to leave his past sins behind him as he returns home to his stoic father, Mitchell. One fateful night he meets Maben, a young mother with nothing but a stolen gun and a murdered police deputy to her name. Desperate and on the run, Russell and Maben must trust one another to escape their own circumstances, before the truths of their intertwined violent past threatens to destroy them.",en,/h7BoGo4NhckWRiMUCi3Qr8GwBDA.jpg,461.824,46,7.413
False,2023-03-02,459003,"[16, 12, 10751, 14]",False,Мавка: Лісова пісня,/eeJjd9JU2Mdj9d7nWRFLWlrcExi.jpg,Mavka: The Forest Song,"Forest soul Mavka faces an impossible choice between her heart and her duty as guardian to the Heart of the Forest, when she falls in love with the talented young human musician Lukas.",uk,/lyHmhoRj3zXSdeCYbs2oOXLCF4K.jpg,445.273,479,7.285
False,2010-01-30,55241,"[878, 12, 10770]",False,Meteor Storm,/aVzlVwal128Q3mtGOBOC9W2XYcH.jpg,Meteor Storm,"San Francisco becomes a target for waves of destructive meteors after a rogue comet orbits around the earth... For astronomer, Michelle Young, what was meant to be a once-in-a-lifetime celestial event, soon turns into her worst nightmare as thousands of meteors break the surface of the atmosphere and bombard the city of San Francisco.",en,/vDRcux3EHYluUF1TTi2DcE1K98Q.jpg,381.979,49,4.6
False,2023-06-14,976573,"[16, 35, 10751, 14, 10749]",False,Elemental,/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",en,/4fLZUr1e65hKPPVw0R3PmKFKxj1.jpg,416.683,2902,7.742
False,2023-09-26,1171541,"[28, 53]",False,Sniper: G.R.I.T. - Global Response & Intelligence Team,/a9bt9byTQ1MIfRWYQX240HiYPrl.jpg,Sniper: G.R.I.T. - Global Response & Intelligence Team,"When an international terrorist cult threatens global political stability and kidnaps a fellow agent, Ace Sniper Brandon Beckett and the newly-formed Global Response & Intelligence Team – or G.R.I.T. – led by Colonel Stone must travel across the world to Malta, infiltrate the cult, and take out its leader to free Lady Death and stop the global threat.",en,/bGQyu8H6q20ZRxqr3z65kE17QPA.jpg,343.532,77,7.019
False,2023-05-31,569094,"[16, 28, 12]",False,Spider-Man: Across the Spider-Verse,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",en,/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg,412.522,4825,8.41
False,2023-10-05,744857,[27],False,Cuando acecha la maldad,/iQ7G9LhP7NRRIUM4Vlai3eOxBAc.jpg,When Evil Lurks,"Residents of a small rural town discover that a demon is about to be born among them. They desperately try to escape before the evil is born, but it may be too late.",es,/cavK9ox37pxDg11RvJINMH63onU.jpg,376.869,165,7.5
False,2023-01-13,1007427,"[28, 53, 80]",False,Night Train,/vKzdwficUcFNisOM5mN3XXXUzA6.jpg,Night Train,"Mother Holly McCord is driven to extremes to save the life of her young son. Even if it means hauling black market drugs in her souped-up truck, with the Feds in hot pursuit. With two bounties on her head and her son’s life on the line, Holly climbs behind the wheel of “Night Train,” ready to outrun, out gun, and outlast them all.",en,/c1f7HpEEEZaOQ5PxAGLwbauURMu.jpg,361.942,21,6.833
False,2023-09-29,1151534,"[53, 18]",False,Nowhere,/zwKaPkkLizCg1onpHQq89LWugkS.jpg,Nowhere,"A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.",es,/xvzxqKWltnj6qSiWBXRq6ZCdcrw.jpg,362.678,818,7.583
False,2017-10-27,354912,"[10751, 16, 14, 10402, 35, 12]",False,Coco,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",en,/askg3SMvhqEl4OL52YuvdtY40Yb.jpg,337.616,18107,8.217
